Name,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,WAR,OPS+,Rbat+,Position,player_age
lane thomas,329.7,365.8,77.2,47.6,16,1.5,12.1,98.3,27.4,28.43,8.5,0.2047,0.3496,0.2787,0.6283,41.6,141.9,5.7,15.6,0.2106,0.3418,0.2775,0.2799,0.286,0.1312,0.3369,0.3423,-0.0059,0.0078,-0.0024,72.2,88.24,19.01,30.06,6.54,5.23,35.97,99.3463857,93.81223917,63.57,20.58,27.64,43.71,-4,29.3,0.4,75,74.5,RF,29
lourdes gurriel jr.,493.1,534.3,128.2,82.9,25.1,2,18.2,85.4,29.8,15.87,5.58,0.2594,0.4281,0.3064,0.7345,71.9,216.5,2.3,8.1,0.2609,0.4201,0.3169,0.317,0.3102,0.1592,0.3494,0.3494,-0.0015,0.008,-0.0001,70.46,88.31,14.88,34.9,7.09,6.19,40.75,99.35519156,93.86016867,69.25,11.85,19.6,51.3,-0.2,26.9,1.28,100.3,98.1,OF,31
luis arraez,550.9,590.5,171.6,132.8,29.1,3.5,6.2,23,27.2,3.79,4.67,0.31,0.4104,0.3449,0.7553,50.6,185.1,2.3,6.8,0.2963,0.3846,0.3282,0.3128,0.3331,0.0883,0.3223,0.3055,0.0137,0.0258,0.0154,62.94,86.35,12.31,39.26,1.58,2.88,19.85,94.16098037,91.12996797,63.72,4.57,6.25,49.84,0,26.43,1.62,104.4,102.5,2B,28
luis rengifo,364.7,397.7,96.3,71.3,13.9,2.6,8.5,70.6,26,17.48,6.43,0.2673,0.3894,0.3204,0.7098,35.2,137.2,5.9,10.9,0.2653,0.3862,0.3113,0.3116,0.3202,0.1211,0.3449,0.3465,0.002,0.0032,-0.0003,70.01,87.97,7.26,32.36,4.87,4.82,34.73,98.03987046,93.1369217,75.15,14.78,23.29,53.26,0,27.05,1.2,96.7,97.4,SS,28
luis robert jr.,407.6,451.5,94.7,57.3,18.9,0.2,18.3,131.7,34.4,29.14,7.88,0.2295,0.4021,0.2954,0.6975,51,180.9,6.1,26.4,0.244,0.4317,0.3016,0.3192,0.3095,0.1877,0.3933,0.4212,-0.0145,-0.0296,-0.0176,75.41,89.7,16.22,35.93,11.35,5.6,42.02,101.5610058,95.03010229,75.63,22.5,33.63,54.24,5.2,28.83,2.18,93.5,96,CF,27
luis urias,198,229.6,44,31.4,6.8,0,5.8,39.9,21.9,20.65,9.52,0.2131,0.35,0.3163,0.6663,19.9,76.1,0.5,1,0.2182,0.3597,0.3003,0.3068,0.3214,0.1415,0.3196,0.3295,-0.0051,-0.0097,-0.0065,68.79,86.21,15.9,32.55,6.52,5.49,31.82,97.44423398,92.78453703,60.81,13.64,18.71,43.23,0,26,0.16,55.5,59.1,3B,28
marcell ozuna,483.8,566.8,129.9,78.9,21.1,0.2,29.7,131.3,74.6,22.98,13.61,0.2629,0.4844,0.3656,0.85,81.2,213.4,0,0.3,0.2723,0.534,0.3677,0.3897,0.3755,0.2619,0.4282,0.4646,-0.0094,-0.0496,-0.022,73.9,91.14,14.49,36.68,13.97,9.72,48.52,102.457845,95.76211143,63.81,19.05,27.11,42.82,0,25.69,2.77,130.7,133.9,DH,34
mark canha,310.75,362.3125,75.1875,54.125,15.3125,0.125,5.625,71.375,37,19.65,9.15,0.235125,0.3274375,0.322875,0.6503125,33.25,134.4375,0.4375,5.3125,0.218375,0.31725,0.29225,0.2876875,0.31425,0.098875,0.3080625,0.300375,0.01675,0.0101875,0.0045625,68.41875,87.775,13.25625,29.4875,3.13125,5.35625,35.9375,97.99017514,93.11036061,59.93125,15.9125,21.95625,42.9125,-1.25,27.8,0.1875,85.8125,87.3125,1B,36
martin maldonado,186.4,206,33.6,21.1,6.3,0,6.2,71.6,12.4,34.95,5.6,0.1759,0.3021,0.2263,0.5284,16.5,79.9,0,0,0.1854,0.3408,0.233,0.2515,0.2359,0.1547,0.3302,0.3621,-0.0095,-0.0387,-0.0185,71.21,87.08,17.7,30.63,8.8,4.47,32.73,98.44740279,93.32273769,60.58,25.77,36.89,47.36,0,23.12,0.06,13.2,12,C,38
max kepler,366.5,409.9,86.2,53.6,18.7,0.7,13.2,81.7,35.6,19.85,8.69,0.2334,0.3933,0.306,0.6993,45.3,168.5,0.2,1.5,0.2538,0.4334,0.304,0.3297,0.3263,0.1794,0.3388,0.3755,-0.0204,-0.0401,-0.0257,71.53,90.45,15.83,34.56,9.7,6.68,43.37,100.6114735,94.61802669,71.03,12.74,22.23,49.44,1,26.97,0.71,94.1,93.5,RF,32
